TN	startTime	endTime	hand	digit	dir	measStartTime	measEndTime
1.0	2000.0	4000.0	1.0	1.0	1.0	2025.039200001629	4042.3781979989144
2.0	5000.0	7000.0	1.0	2.0	1.0	5022.080556002038	7001.177607999125
3.0	9000.0	11000.0	1.0	3.0	1.0	9003.037797003344	11035.583718003181
4.0	12000.0	14000.0	1.0	4.0	2.0	12047.147843004495	14012.892288003059
5.0	15000.0	17000.0	1.0	5.0	2.0	15015.9905670007	17048.300164002285
1.0	2000.0	4000.0	1.0	5.0	1.0	2014.1742100022384	4015.0494879999314
2.0	5000.0	7000.0	1.0	4.0	1.0	5075.929060003546	7251.132060999225
3.0	9000.0	11000.0	1.0	3.0	2.0	9023.62600700144	11063.912828001776
4.0	12000.0	14000.0	1.0	2.0	2.0	12067.20183500147	14018.972917998326
5.0	15000.0	17000.0	1.0	1.0	2.0	15027.993032999802	17027.803283002868
