TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
1	2	4	1	0	-0.3	0	-0.004509907	-0.084660743	0.027495567	0.013367876	-0.253755644	0.080243626	5168.263871	6552.996933	0.004162918	0.033914534	13597.21894	1	1.25
2	2	4	1	0	0.7	0	-0.002076977	0.216872994	-0.011843552	0.005939606	0.650262919	-0.034523561	17.67312003	12868.64937	0.003461576	18651.06173	38448.82935	1	3.35
3	2	4	1	0	0.1	0	-0.000596125	0.016990843	-0.003715291	0.001950223	0.049904344	-0.012839625	4122.193344	7483.929068	0.002792047	43502.11127	56972.02707	1	0.3
4	2	4	1	-0.07	0.07	0	0.013293862	0.012089881	0.000645719	-0.039557894	0.036204903	0.002120266	2439.085299	2573.127216	0.004401361	62036.04131	70599.9197	1	0.15
5	2	4	1	-0.49	0.49	0	0.152859535	0.154664144	-0.005527227	-0.457834113	0.464477971	-0.01470482	6644.131491	9034.637682	0.003585863	75637.77634	91401.60937	1	3.15
6	2	4	1	0.07	0.07	0	-0.012743688	0.012896402	-0.005067546	0.037486571	0.03852736	-0.017766152	3367.147463	9951.22725	0.103388847	96455.85002	112385.9879	1	0.3
7	2	4	1	-0.7	0	0	0.216669801	-0.002571312	0.02651418	-0.651077588	-0.007422611	0.078443891	4666.838549	7795.185011	0.040807117	117440.2668	132670.0418	1	2.4
8	2	4	1	0.35	-0.35	0	-0.117368189	-0.102470995	0.025546508	0.351262967	-0.307024554	0.07576976	600.332873	8784.520166	0.011351958	137725.1249	153171.6411	1	2.05
9	2	4	1	-0.35	-0.35	0	0.10358168	-0.107675789	0.051129162	-0.310032915	-0.32328632	0.154028363	16.55029361	9099.89399	0.011720522	158226.3941	174739.3066	1	1.75
10	2	4	1	0	0.5	0	0.001379259	0.153952702	-0.027591888	-0.004720424	0.460628073	-0.08222634	16.60791185	11467.84519	0.010576194	179795.5015	198574.3638	1	2.5
11	2	4	1	0.49	-0.49	0	-0.153282925	-0.155855385	0.037397287	0.458845329	-0.467598524	0.111367874	5349.452827	11566.72503	0.010814913	203628.595	222975.6355	1	3.1
12	2	4	1	0.21	0.21	0	-0.060204272	0.058713706	-0.017499864	0.180677555	0.176400072	-0.051492497	27.07437531	9094.881932	0.012002429	228030.4884	244159.1649	1	0.95
13	2	4	1	0.07	-0.07	0	-0.011176441	-0.014040423	0.004078425	0.034370925	-0.041862314	0.011273957	8366.805765	8728.538207	0.011634169	249215.0036	264411.5398	1	0.45
14	2	4	1	0.49	0.49	0	-0.152741146	0.151493254	-0.025857401	0.459744793	0.454965302	-0.077663758	5527.530034	10362.1478	0.010389808	269464.8698	287451.8116	1	2.75
15	2	4	1	0	0.9	0	-2.17E-05	0.28451339	-0.041729128	0.000712538	0.853022261	-0.125233161	2822.591603	9817.550736	0.010284581	292501.0049	310714.2088	1	4.85
16	2	4	1	-0.21	0.21	0	0.058711578	0.058583733	-0.013141747	-0.173512824	0.176495691	-0.038784363	5844.453351	7711.098113	0.01161671	315768.4323	330137.3149	1	1.05
17	2	4	1	0	0.7	0	-0.000231561	0.218205913	-0.036805475	0.001180223	0.653808506	-0.110004431	5950.6879	8834.698728	0.010834373	335186.5456	352266.4669	1	3.65
18	2	4	1	-0.64	0.64	0	0.212605066	0.197221219	0.012410175	-0.638915753	0.591793134	0.038191843	5133.011717	17268.25012	0.009936256	357321.058	381152.1822	1	4.35
19	2	4	1	-0.35	-0.35	0	0.105593124	-0.108486652	0.045188995	-0.316293832	-0.325233371	0.135612763	5460.479172	8378.904867	0.020365691	386205.1538	401669.353	1	2.25
20	2	4	1	0.64	-0.64	0	-0.201570243	-0.205541063	0.056134847	0.602639094	-0.616882144	0.166619236	8601.663927	11608.472	0.018564179	406724.6216	425459.8505	1	4.35
21	2	4	1	0.21	-0.21	0	-0.066254733	-0.056339178	0.017824057	0.198828936	-0.168629103	0.05287707	9777.490011	10628.79118	0.018134732	430524.151	448105.1478	1	1.45
22	2	4	1	0.49	-0.49	0	-0.15692348	-0.146549275	0.032341601	0.469766994	-0.440910227	0.099405209	7026.837703	9701.262168	0.017785519	453161.1557	470039.8047	1	3.5
23	2	4	1	0.9	0	0	-0.287166691	0.000325501	0.002846351	0.860755579	0.001008873	0.009179931	3384.20611	10102.3249	0.017116503	475093.7653	492341.8308	1	3.15
