TN	BN	Hand	Digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	measStartTime	measEndTime
1	1	2	3	1	0.35	-0.35	0.8	-0.104341803	-0.120217982	0.049840635	0.3116659	-0.359553392	0.149384573	50.925047	3078.794821	1.584137004	6222.092991
2	1	2	4	1	0.2	0	0.8	-0.078804712	0.004770896	0.020322515	0.234083549	0.014506905	0.060372442	437.235245	589.033102	7548.618688	10493.89991
3	1	2	2	1	-0.35	-0.35	0.8	0.111360886	-0.114199283	0.007389075	-0.335021366	-0.341270708	0.023128542	50.55637	1261.408759	11681.68065	15923.5096
4	1	2	2	1	0	-0.5	0.8	0.007552625	-0.173855854	0.018818082	-0.024146863	-0.520596483	0.059567086	50.678139	690.012761	17147.42063	20665.07549
5	1	2	3	1	0	0.2	0.8	0.007526406	0.084852156	0.003483726	-0.023938729	0.25397382	0.010084962	67.461789	773.922793	21786.90321	24934.7583
6	1	2	3	1	0	-0.5	0.8	-0.006306063	-0.170152982	0.070272465	0.017882373	-0.509876298	0.210039185	50.546977	1042.847699	26088.2563	29355.83887
7	1	2	3	1	-0.35	0.35	0.8	0.115165031	0.122335774	8.10E-05	-0.345624569	0.369337911	-0.001725521	50.446693	1564.231297	30513.04284	34585.38847
8	1	2	1	1	0.2	0	0.8	-0.064439908	0.010568611	-0.014673243	0.193222617	0.030443431	-0.045667704	50.55763701	1883.453918	35789.2965	40166.0582
9	1	2	3	2	0	0.8	0.8	-0.000965133	0.004047659	-0.004191562	0.003413308	0.012142977	-0.012895125	151.281512	0	41353.24623	47528.51526
10	1	2	2	1	-0.14	0.14	0.8	0.049330568	0.039220284	-0.007335882	-0.145207946	0.116236605	-0.021412543	50.61803	1580.738294	48633.2157	52472.61886
11	1	2	4	1	-0.57	-0.57	0.8	0.187011762	-0.195594907	-0.03108513	-0.562330058	-0.586072597	-0.093621607	50.5678	1227.975827	53646.03981	58424.28602
12	1	2	4	1	0.14	-0.14	0.8	-0.059264461	-0.033219841	0.014737713	0.177825751	-0.102216696	0.042427832	50.512011	908.203175	59580.07974	63501.51645
13	1	2	3	1	0	-0.8	0.8	0.00025411	-0.285927083	0.120077913	-0.000341528	-0.855029862	0.355152483	101.04458	740.34196	64644.25284	67839.15288
14	1	2	2	1	-0.8	0	0.8	0.256094698	0.000927434	-0.028759548	-0.766147721	0.003235471	-0.086736416	50.632894	2135.525136	68987.66228	73891.56562
15	1	2	4	1	-0.57	0.57	0.8	0.18580331	0.190052618	-0.090503761	-0.55689202	0.570481548	-0.272426825	50.590557	3245.291066	75106.08293	80851.86797
